lambda,h0,topology,initial_condition,defect_representation,commitment_law,block_factor,target_probability,max_real_transient_eigenvalue,transient_extinction_verified,minimum_expected_residence,all_states_positive_residence,all_states_residence_above_tolerance,minimum_schur_footprint,all_states_nonzero_schur_footprint,causal_probe_count,positive_causal_count,negative_causal_count,near_zero_causal_count,positive_causal_fraction,median_causal_effect,mean_absolute_causal_effect,max_absolute_causal_effect,min_causal_effect,max_causal_effect
0.0,0.02,complete,boundary_pair,log,exponential,0.05,0.028296547821165616,-0.020000000000000503,True,1.4148273910582798,True,True,0.058340044114810266,True,32,0,32,0,0.0,-0.00012080394599719817,0.00012080394599720955,0.00012080394599737337,-0.00012080394599737337,-0.0001208039459970646
0.0,0.02,complete,boundary_pair,bounded,exponential,0.05,0.028296547821165616,-0.020000000000000503,True,1.4148273910582798,True,True,0.058340044114810266,True,32,0,32,0,0.0,-0.00012080394599719817,0.00012080394599720955,0.00012080394599737337,-0.00012080394599737337,-0.0001208039459970646
0.0,0.02,complete,boundary_pair,symmetric,exponential,0.05,0.028296547821165616,-0.020000000000000503,True,1.4148273910582798,True,True,0.058340044114810266,True,32,0,32,0,0.0,-0.00012080394599719817,0.00012080394599720955,0.00012080394599737337,-0.00012080394599737337,-0.0001208039459970646
0.0,0.02,complete,left_boundary,log,exponential,0.05,0.02829654782116561,-0.020000000000000503,True,1.41482739105828,True,True,0.058340044114810266,True,33,0,33,0,0.0,-0.0001208039459971999,0.00012080394599721577,0.00012080394599737684,-0.00012080394599737684,-0.00012080394599707847
0.0,0.02,complete,left_boundary,bounded,exponential,0.05,0.02829654782116561,-0.020000000000000503,True,1.41482739105828,True,True,0.058340044114810266,True,33,0,33,0,0.0,-0.0001208039459971999,0.00012080394599721577,0.00012080394599737684,-0.00012080394599737684,-0.00012080394599707847
0.0,0.02,complete,left_boundary,symmetric,exponential,0.05,0.02829654782116561,-0.020000000000000503,True,1.41482739105828,True,True,0.058340044114810266,True,33,0,33,0,0.0,-0.0001208039459971999,0.00012080394599721577,0.00012080394599737684,-0.00012080394599737684,-0.00012080394599707847
0.5,0.02,complete,left_boundary,bounded,exponential,0.05,0.06872057169754797,-0.013092037347959173,True,1.7846824025923862,True,True,0.054213054745265374,True,33,0,33,0,0.0,-0.0001114677356942595,0.00019325769714954278,0.0006428395091386957,-0.0006428395091386957,-8.293061808070656e-05
0.5,0.02,complete,boundary_pair,bounded,exponential,0.05,0.06879673127213778,-0.013092037347959173,True,1.7867683644898147,True,True,0.054213054745265374,True,32,0,32,0,0.0,-0.00012083745086045178,0.0001990304028144838,0.0006461419787563427,-0.0006461419787563427,-8.496741934480023e-05
0.5,0.02,complete,boundary_pair,log,exponential,0.05,0.05851774640424958,-0.014682189873983566,True,0.8698291887515348,True,True,0.04102048938836825,True,32,0,32,0,0.0,-0.0001889798970051565,0.00021530180899027645,0.0005626943077925509,-0.0005626943077925509,-1.1708520388439836e-06
1.0,0.02,complete,left_boundary,bounded,exponential,0.05,0.13887985362853755,-0.009877938829635377,True,1.86931556532895,True,True,0.05166040241903745,True,33,0,33,0,0.0,-4.8533261996164256e-05,0.00033035405427383276,0.0023417229996581523,-0.0023417229996581523,-1.535787643097697e-05
0.0,0.1,complete,left_boundary,log,exponential,0.05,0.027247956403269647,-0.10000000000000071,True,0.2724795640326962,True,True,0.058354808560223126,True,33,0,33,0,0.0,-0.0003389494445057428,0.0003389494445057603,0.00033894944450580874,-0.00033894944450580874,-0.00033894944450571854
0.0,0.1,complete,left_boundary,bounded,exponential,0.05,0.027247956403269647,-0.10000000000000071,True,0.2724795640326962,True,True,0.058354808560223126,True,33,0,33,0,0.0,-0.0003389494445057428,0.0003389494445057603,0.00033894944450580874,-0.00033894944450580874,-0.00033894944450571854
0.0,0.1,complete,left_boundary,symmetric,exponential,0.05,0.027247956403269647,-0.10000000000000071,True,0.2724795640326962,True,True,0.058354808560223126,True,33,0,33,0,0.0,-0.0003389494445057428,0.0003389494445057603,0.00033894944450580874,-0.00033894944450580874,-0.00033894944450571854
0.0,0.1,complete,boundary_pair,log,exponential,0.05,0.02724795640326964,-0.10000000000000071,True,0.27247956403269624,True,True,0.058354808560223126,True,32,0,32,0,0.0,-0.00033894944450575323,0.00033894944450576646,0.00033894944450580874,-0.00033894944450580874,-0.00033894944450572895
0.0,0.1,complete,boundary_pair,bounded,exponential,0.05,0.02724795640326964,-0.10000000000000071,True,0.27247956403269624,True,True,0.058354808560223126,True,32,0,32,0,0.0,-0.00033894944450575323,0.00033894944450576646,0.00033894944450580874,-0.00033894944450580874,-0.00033894944450572895
0.0,0.1,complete,boundary_pair,symmetric,exponential,0.05,0.02724795640326964,-0.10000000000000071,True,0.27247956403269624,True,True,0.058354808560223126,True,32,0,32,0,0.0,-0.00033894944450575323,0.00033894944450576646,0.00033894944450580874,-0.00033894944450580874,-0.00033894944450572895
