topology,configurations,mean_target_probability,mean_positive_causal_fraction,median_abs_causal_effect,min_schur_footprint,extinction_success,positive_residence_success,residence_above_tolerance_success,schur_success
complete,90,0.1315932490293527,0.2906881313131313,0.0006547297905399165,0.0010735478903946567,1.0,1.0,0.9666666666666667,1.0
path,90,0.07982446966312028,0.5981691919191919,0.006835593952201567,0.09061374603202627,1.0,1.0,0.9555555555555556,1.0
ring,90,0.07705604772997704,0.6657828282828283,0.005253198644992553,0.08802112051166781,1.0,1.0,0.9777777777777777,1.0
