lambda,h0,topology,initial_condition,defect_representation,commitment_law,block_factor,target_probability,max_real_transient_eigenvalue,transient_extinction_verified,minimum_expected_residence,all_states_positive_residence,all_states_residence_above_tolerance,minimum_schur_footprint,all_states_nonzero_schur_footprint,causal_probe_count,positive_causal_count,negative_causal_count,near_zero_causal_count,positive_causal_fraction,median_causal_effect,mean_absolute_causal_effect,max_absolute_causal_effect,min_causal_effect,max_causal_effect
2.0,0.1,path,boundary_pair,log,exponential,0.0,0.07245479615770108,-0.028385308633995725,True,0.5708094995814887,True,True,0.9157973599761225,True,32,32,0,0,1.0,0.04275820488893006,0.03629523791065842,0.04302503192049026,0.0005283651106310489,0.04302503192049026
2.0,0.1,path,boundary_pair,log,exponential,0.01,0.07245479615770108,-0.028385308633995725,True,0.5708094995814887,True,True,0.9157973599761225,True,32,32,0,0,1.0,0.02784579897208115,0.027711820898170446,0.04076243791451425,0.002520384270825529,0.04076243791451425
2.0,0.1,path,boundary_pair,log,exponential,0.05,0.07245479615770108,-0.028385308633995725,True,0.5708094995814887,True,True,0.9157973599761225,True,32,32,0,0,1.0,0.020479687547378406,0.01813358915579512,0.03272078961079148,0.0012458461721493591,0.03272078961079148
2.0,0.1,path,boundary_pair,log,exponential,0.2,0.07245479615770108,-0.028385308633995725,True,0.5708094995814887,True,True,0.9157973599761225,True,32,32,0,0,1.0,0.008871974041934273,0.008063087793914073,0.017039215106106016,0.00026757432147447857,0.017039215106106016
2.0,0.1,path,boundary_pair,log,exponential,0.5,0.07245479615770108,-0.028385308633995725,True,0.5708094995814887,True,True,0.9157973599761225,True,32,32,0,0,1.0,0.0026727074973765808,0.0026846252479835932,0.006074824113462773,6.716439391865614e-05,0.006074824113462773
2.0,0.1,path,boundary_pair,log,exponential,0.8,0.07245479615770108,-0.028385308633995725,True,0.5708094995814887,True,True,0.9157973599761225,True,32,32,0,0,1.0,0.0007043828226103305,0.000735157912144018,0.0017026444814881303,1.6808107943674933e-05,0.0017026444814881303
