initial_condition,configurations,mean_target_probability,mean_positive_causal_fraction,median_abs_causal_effect,min_schur_footprint,extinction_success,positive_residence_success,residence_above_tolerance_success,schur_success
boundary_pair,135,0.0959243297539434,0.631712962962963,0.0021966315495297838,0.0010735478903946567,1.0,1.0,1.0,1.0
left_boundary,135,0.09639151452768997,0.4047138047138047,0.002975824757386688,0.0010735478903946567,1.0,1.0,0.9333333333333333,1.0
