time,closure_entropy
0.0,2.0398614984874204
0.04,2.05853792618777
0.08,2.075399412802792
0.12,2.0906355338635514
0.16,2.1046511790619533
0.2,2.117605396838288
0.24,2.129670960496589
0.28,2.1408133150138493
0.32,2.1511973396273647
0.36,2.160826579031042
0.4,2.1698724569284704
0.44,2.178313995709991
0.48,2.186176727351226
0.52,2.1935569565526825
0.56,2.200388126809916
0.6,2.2067015397484155
0.64,2.212621432416389
0.68,2.218236092669679
0.72,2.2234765834261667
0.76,2.2283709261670213
0.8,2.2329810608721354
0.84,2.2374656237831942
0.88,2.24173467199686
0.92,2.2458456104292113
0.96,2.2497204060455314
1.0,2.253318207519453
1.04,2.2567331062863305
1.08,2.260002434144438
1.12,2.2631681341608534
1.16,2.2661468884049474
1.2,2.2690360305666784
1.24,2.2718349627328824
1.28,2.274313844909428
1.32,2.27662569741538
1.36,2.2788897045138983
1.4000000000000001,2.281052852069124
1.44,2.283027691280851
1.48,2.284869392475318
1.52,2.286620613473578
1.56,2.288284624997352
1.6,2.2899173563630164
1.6400000000000001,2.2915012327820223
1.68,2.2929423280137273
1.72,2.294261315672176
1.76,2.2955863668952454
1.8,2.2968448922636258
1.84,2.2979820667110147
1.8800000000000001,2.2991334160922876
1.92,2.3002827561724186
1.96,2.3014700451790375
2.0,2.3026586032919036
2.04,2.3038268746318495
2.08,2.3049697226642314
2.12,2.3060690005091042
2.16,2.30710975807085
2.2,2.308099079200416
2.24,2.309021196478527
2.2800000000000002,2.309989197063793
2.32,2.310963757780639
2.36,2.3119324272525232
2.4,2.312771592414352
2.44,2.3135752521707866
2.48,2.3142840012358326
2.52,2.3149988170138815
2.56,2.315699768815644
2.6,2.316456072774495
2.64,2.3171939744765124
2.68,2.3178759821056483
2.72,2.318467560252994
2.7600000000000002,2.3190251125222634
2.8000000000000003,2.319525016190771
2.84,2.3199806249973873
2.88,2.320478287664331
2.92,2.3209184455387937
2.96,2.3213243751613093
3.0,2.3216660584310205
3.04,2.3220732609367865
3.08,2.3224582470439987
3.12,2.3228784366453974
3.16,2.3232424124616804
3.2,2.323604410890238
3.24,2.323947352663942
3.2800000000000002,2.3242886074986773
3.3200000000000003,2.3246338457749594
3.36,2.3248694217456074
3.4,2.3251345302760393
3.44,2.325503376719353
3.48,2.325816620767988
3.52,2.3260232560999445
3.56,2.3261726941590584
3.6,2.326295118101127
3.64,2.3264321467040965
3.68,2.3265255110465692
3.72,2.3265645078536186
3.7600000000000002,2.3265777288971563
3.8000000000000003,2.3265296219397613
3.84,2.3264687450818764
3.88,2.3264679411259714
3.92,2.3264472621440424
3.96,2.3264628933241123
4.0,2.3263580501092
4.04,2.3262060569532625
4.08,2.326126264193696
4.12,2.3260662020025222
4.16,2.3261413088743796
4.2,2.326144658574701
4.24,2.326252338150524
4.28,2.326390958405663
4.32,2.326545677968438
4.36,2.3267037690958667
4.4,2.326851431777852
4.44,2.326980993222683
4.48,2.327098487550968
4.5200000000000005,2.3271480164758716
4.5600000000000005,2.327216875990942
4.6000000000000005,2.3274256670428968
4.64,2.3275431579790027
4.68,2.327711138099774
4.72,2.3279929700144733
4.76,2.328350019510764
4.8,2.328715056118144
4.84,2.3290477188453993
4.88,2.329217010240215
4.92,2.329406075801332
4.96,2.329575237318644
5.0,2.3297622155495294
5.04,2.3298361556944327
5.08,2.329816230375761
5.12,2.329971082420118
5.16,2.330032713627014
5.2,2.330083951849171
5.24,2.330123630769865
5.28,2.3300381902065084
5.32,2.3299651362550002
5.36,2.3299369824623195
5.4,2.3299306577347343
5.44,2.3299880525381127
5.48,2.33007641398836
5.5200000000000005,2.330166544630689
5.5600000000000005,2.3302240313372837
5.6000000000000005,2.330212677566532
5.64,2.330215239310806
5.68,2.330188341890517
5.72,2.3300144611569005
5.76,2.329747974723836
5.8,2.329500997622356
5.84,2.329163010731165
5.88,2.328817636491055
5.92,2.3284157883253687
5.96,2.328023912829755
6.0,2.3276908632185225
6.04,2.3272431766669754
6.08,2.326867192433721
6.12,2.3264492400127397
6.16,2.3258775621944245
6.2,2.3252607160620813
6.24,2.324748723976981
6.28,2.324147418266412
6.32,2.3236233391925936
6.36,2.323087131380024
6.4,2.3225199427676486
6.44,2.3219352003502376
6.48,2.3213133457516992
6.5200000000000005,2.320839620691844
6.5600000000000005,2.3203517051876092
6.6000000000000005,2.319851216613543
6.640000000000001,2.319422955551275
6.68,2.3191257460410486
6.72,2.318868941296011
6.76,2.318619903889873
6.8,2.3183827412683025
6.84,2.3180972382810636
6.88,2.317946050088713
6.92,2.317566788377203
6.96,2.317222800567629
7.0,2.316827664276612
7.04,2.316385316417454
7.08,2.315908539495424
7.12,2.3154966899145255
7.16,2.315080736714786
7.2,2.3146683594901845
7.24,2.3143228386942973
7.28,2.3140111549522215
7.32,2.3137362020289824
7.36,2.313574208996266
7.4,2.3135327449906584
7.44,2.3133688921225475
7.48,2.3132218102442743
7.5200000000000005,2.31313846673301
7.5600000000000005,2.313080655827788
7.6000000000000005,2.3131918441164747
7.640000000000001,2.3132636528385486
7.68,2.313498745682267
7.72,2.31379283786086
7.76,2.314006051652958
7.8,2.314175428755938
7.84,2.314352865252198
7.88,2.3145770840940596
7.92,2.314745962264237
7.96,2.3148694472188285
8.0,2.3150520714674134
8.040000000000001,2.3154855203884988
8.08,2.3158492429740662
8.120000000000001,2.316098446832158
8.16,2.3163375918028963
8.2,2.316695663799003
8.24,2.3170150162484955
8.28,2.317440561696954
8.32,2.3177343962178516
8.36,2.318014936509229
8.4,2.31816223871553
8.44,2.3184394199651615
8.48,2.3186105640808616
8.52,2.3187309758370658
8.56,2.318771990368647
8.6,2.318875247720987
8.64,2.319139582912281
8.68,2.319374020143182
8.72,2.319628077685821
8.76,2.3199348911176467
8.8,2.320278172853767
8.84,2.3206784800190334
8.88,2.3211604087142668
8.92,2.3217406741420326
8.96,2.3223562621455645
9.0,2.3227278993045157
9.040000000000001,2.323026102188273
9.08,2.3231556245541873
9.120000000000001,2.323248541981275
9.16,2.323288502981973
9.200000000000001,2.3234202647925444
9.24,2.3234941241008977
9.28,2.323606380740928
9.32,2.323773516226961
9.36,2.323783946614782
9.4,2.323828716185194
9.44,2.3238043718607533
9.48,2.32374292203615
9.52,2.32371401294275
9.56,2.3237351155238013
9.6,2.3236928444674767
9.64,2.3236909244936848
9.68,2.3236135676667535
9.72,2.323467893454401
9.76,2.3233041808319266
9.8,2.323168668116393
9.84,2.3229347056828726
9.88,2.322655814865363
9.92,2.3223367352571533
9.96,2.3219858896164127
10.0,2.3216768892247193
10.040000000000001,2.3213406415217572
10.08,2.321130444768768
10.120000000000001,2.32099814888337
10.16,2.320814016124209
10.200000000000001,2.320518705673209
10.24,2.3202672741871897
10.28,2.320064701024618
10.32,2.3199610636330448
10.36,2.319874254315182
10.4,2.319812341302418
10.44,2.3198766051092425
10.48,2.319919021312661
10.52,2.3199869097093884
10.56,2.320059297174838
10.6,2.320098433308663
10.64,2.3200496118513354
10.68,2.3199705955324053
10.72,2.319906347655265
10.76,2.319902765986463
10.8,2.319870256333658
10.84,2.3198124092986663
10.88,2.319727293987141
10.92,2.319694608511829
10.96,2.3196046385085265
11.0,2.319542103844067
11.040000000000001,2.319440918757898
11.08,2.3193071701398154
11.120000000000001,2.3192161985396362
11.16,2.319077071720648
11.200000000000001,2.318914019411828
11.24,2.318805632205105
11.28,2.3186477516239656
11.32,2.3184427197552573
11.36,2.318163148431455
11.4,2.317875439806714
11.44,2.317651410825746
11.48,2.3174035956177135
11.52,2.3171925467956833
11.56,2.317166018520393
11.6,2.317080421548207
11.64,2.317075568710122
11.68,2.3170406359854607
11.72,2.3170712099901656
11.76,2.317137670651024
11.8,2.317064281303526
11.84,2.3170882899578147
11.88,2.317155470576273
11.92,2.317209415168879
11.96,2.317295941225693
12.0,2.3175009357603757
