beta,noise_strength,k,mean_terminal_occupancy,argmax_frequency,mean_residence
0.0,0.0,4,0.0920974242784595,0.286,1.1173590525523478
0.0,0.0,6,0.09174486868910511,0.017333333333333333,1.1070795904884232
0.0,0.0,8,0.09120824781498532,0.03866666666666667,1.0873011741013514
0.0,0.0,10,0.09070394994052416,0.059333333333333335,1.0801833795782916
0.0,0.0,12,0.09036698413880295,0.06866666666666667,1.084418643144578
0.0,0.0,14,0.09022278345842141,0.076,1.0778437997031358
0.0,0.0,16,0.09024590817293214,0.06333333333333334,1.0829473412746868
0.0,0.0,18,0.09041347401638224,0.052,1.0828280263111074
0.0,0.0,20,0.09070095584433094,0.03666666666666667,1.082576659019393
0.0,0.0,22,0.09103237189181602,0.017333333333333333,1.0894716595587122
0.0,0.0,24,0.09126303175424011,0.2846666666666667,1.107990674267976
0.0,0.03,4,0.09220088372850094,0.25333333333333335,1.1030667720170708
0.0,0.03,6,0.09226378006378774,0.06533333333333333,1.101751606248642
0.0,0.03,8,0.09215838133436398,0.046,1.1070215037379105
0.0,0.03,10,0.09197399750629708,0.062,1.1072344013881577
0.0,0.03,12,0.0915746484273363,0.064,1.1015384126634347
0.0,0.03,14,0.09120100277348786,0.07866666666666666,1.0942865512209716
0.0,0.03,16,0.09058024681041707,0.06,1.0904845513112704
0.0,0.03,18,0.09030740553984322,0.05333333333333334,1.084332435914665
0.0,0.03,20,0.08974142256259629,0.042,1.0798909728884039
0.0,0.03,22,0.08909435928625976,0.052,1.0722246773184134
0.0,0.03,24,0.08890387196710994,0.22333333333333333,1.0581681152910647
0.0,0.06,4,0.09192318036965097,0.21866666666666668,1.1076278079243724
0.0,0.06,6,0.09163468194608944,0.07,1.1000614829343007
0.0,0.06,8,0.0912111257546233,0.06466666666666666,1.098265386154047
0.0,0.06,10,0.09085245698120416,0.062,1.0924725773819448
0.0,0.06,12,0.09027867288388412,0.048,1.086136638104659
0.0,0.06,14,0.09005633475858474,0.06866666666666667,1.073630030857918
0.0,0.06,16,0.08992996283852911,0.059333333333333335,1.0755748330362522
0.0,0.06,18,0.09056088577022123,0.059333333333333335,1.0837756598004906
0.0,0.06,20,0.09073052690954822,0.05266666666666667,1.0852323519235798
0.0,0.06,22,0.09121198747112916,0.06733333333333333,1.0948335915064336
0.0,0.06,24,0.09161018431653532,0.22933333333333333,1.1023896403760003
0.0,0.1,4,0.09007122209824671,0.19,1.0777808051870177
0.0,0.1,6,0.08987209430740586,0.07333333333333333,1.083521945791863
0.0,0.1,8,0.09047062133518533,0.07066666666666667,1.0826630505800592
0.0,0.1,10,0.09092547469817541,0.06333333333333334,1.0849845250419359
0.0,0.1,12,0.09077116882566362,0.064,1.087635090474642
0.0,0.1,14,0.09069535121566688,0.066,1.0884452925471697
0.0,0.1,16,0.09099980258051996,0.07466666666666667,1.0938820032600884
0.0,0.1,18,0.09113383147923729,0.06933333333333333,1.0939689280935538
0.0,0.1,20,0.09165621304202415,0.052,1.0967071339415007
0.0,0.1,22,0.09158771075294132,0.078,1.101624189015582
0.0,0.1,24,0.09181650966493347,0.19866666666666666,1.1087870360665881
0.0,0.15,4,0.09221352943469986,0.20133333333333334,1.0924845082031938
0.0,0.15,6,0.09124429917817536,0.07133333333333333,1.0945507972620363
0.0,0.15,8,0.0908309800549644,0.05266666666666667,1.1004461451764322
0.0,0.15,10,0.09101358097711473,0.06333333333333334,1.0956586917296094
0.0,0.15,12,0.09105607139149892,0.068,1.092604793532937
0.0,0.15,14,0.09119597321358863,0.08066666666666666,1.0850472221964644
0.0,0.15,16,0.09088940290469064,0.06733333333333333,1.0864976992825548
0.0,0.15,18,0.09061900751278901,0.07466666666666667,1.0863030854558349
0.0,0.15,20,0.09046809135982992,0.05533333333333333,1.0868424120605094
0.0,0.15,22,0.09020062659663108,0.08133333333333333,1.09046204462817
0.0,0.15,24,0.09026843737601782,0.184,1.0891026004722617
0.25,0.0,4,0.08916685010598205,0.256,1.097458820084591
0.25,0.0,6,0.08932553090009673,0.004666666666666667,1.0877274436848798
0.25,0.0,8,0.09086958214259094,0.01,1.085579944269864
0.25,0.0,10,0.09465936949164556,0.016,1.1131381146937078
0.25,0.0,12,0.10139912398467672,0.336,1.1774623282008947
0.25,0.0,14,0.09448167236444391,0.028,1.1116820778591965
0.25,0.0,16,0.08992819865179293,0.02266666666666667,1.0747943070447539
0.25,0.0,18,0.0878187552987223,0.030666666666666665,1.0620633186861514
0.25,0.0,20,0.08732026639926058,0.023333333333333334,1.062366368294028
0.25,0.0,22,0.087462364134062,0.023333333333333334,1.0654703140069142
0.25,0.0,24,0.08756828652672614,0.24933333333333332,1.0622569631750238
0.25,0.03,4,0.08842608337524514,0.19333333333333333,1.0748418274243718
0.25,0.03,6,0.08899822685784506,0.034,1.0779221450017087
0.25,0.03,8,0.09097629777629139,0.021333333333333333,1.0934734497865377
0.25,0.03,10,0.09494583113969247,0.034,1.1213997276190169
0.25,0.03,12,0.10196273015833494,0.296,1.1922671680653973
0.25,0.03,14,0.09503294585161438,0.05533333333333333,1.1180012763344827
