run,seed,selected_k
362,2620983895,5
363,1236112123,18
364,2017237679,11
365,2135529473,23
366,2095912873,6
367,620776385,18
368,3462370225,2
369,516767560,8
370,1074435969,12
371,3228046322,11
372,4157162417,5
373,1052812709,17
374,1334467606,3
375,826441231,12
376,2551721351,5
377,3798198712,7
378,2401991433,24
379,1233881975,23
380,1282662622,11
381,4244723256,3
382,2227478885,24
383,3367971499,22
384,573120,20
385,1220331145,6
386,1532792189,12
387,3311314941,13
388,1026872265,9
389,167448331,16
390,310583892,2
391,3307224308,18
392,1281468257,11
393,728271164,19
394,1857449054,17
395,599206318,4
396,4292011284,13
397,2677080413,10
398,4081340246,2
399,2979656217,16
400,3830485512,6
401,2157802682,6
402,3495215876,19
403,2803397415,20
404,621879731,23
405,152689159,2
406,489246534,9
407,1803111660,3
408,2927052866,5
409,3791165467,18
410,46968975,22
411,248524460,6
412,2016345805,4
413,2786491963,13
414,282630319,10
415,252683884,12
416,2035875156,24
417,1984227663,3
418,2583997468,3
419,1309353053,4
420,1905143160,23
421,2988086475,12
422,1381196305,7
423,3236971706,6
424,1844207874,3
425,3976601520,17
426,2615186822,22
427,1153087467,14
428,1748656728,10
429,1140871994,19
430,3310754519,5
431,2988322550,5
432,4140514348,2
433,2655104153,4
434,2145759752,2
435,3260146564,18
436,2274353791,13
437,4116757060,2
438,1219122042,13
439,2636003211,21
440,3235989613,17
441,3416508830,5
442,696452056,2
443,816028057,15
444,2714122628,20
445,1508593485,13
446,4271804311,19
447,3237833619,15
448,1872004329,5
449,579573485,12
450,2426197276,17
451,4139524728,7
452,1212190006,3
453,3610704759,12
454,1220548278,2
455,2634146161,11
456,255749169,17
457,430510560,2
458,3429353106,11
459,3931530791,24
460,2220578096,23
461,2854833207,17
462,1621962128,14
463,3935562458,13
464,2738509922,20
465,1526004052,17
466,1998170080,10
467,592359032,23
468,2245576739,3
469,1236435892,4
470,3256927332,5
471,4153104499,22
472,3406553454,2
473,2638063186,3
474,334726972,8
475,4091947561,23
476,3546501827,12
477,779360631,21
478,1917877480,14
479,114480337,22
480,2180776388,22
481,1771287731,15
482,3144170359,3
483,2493117453,19
484,1897396165,22
485,90094437,14
486,11882940,5
487,238572950,3
488,1991005544,22
489,1825247197,13
490,3799906897,19
491,3160660607,19
492,3929681119,24
493,2433785522,20
494,2222491842,24
495,2806751822,8
496,2378948561,14
497,628423111,19
498,4179973171,4
499,1584456657,16
