time,k_2,k_3,k_4,k_5,k_6,k_7,k_8,k_9,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24
0.0,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522,0.04347826086956522
0.02,0.04348464094843778,0.04346966154302463,0.043482916296063684,0.04348742246800203,0.043482845570751855,0.04347782081701721,0.04347614452041108,0.04348012492247574,0.04346708797571875,0.04347569925133347,0.04347585703859961,0.043480797967720454,0.043479882066017876,0.04348667905536534,0.04347251741255018,0.04347919088710329,0.0434749622009739,0.04347776656405045,0.043481412763135795,0.0434820177051347,0.04347939686489519,0.04347611678079315,0.04346903838042357
0.04,0.04349716839638499,0.04346005362883509,0.04348444099368194,0.04350365687496274,0.04349100654139571,0.04347710280343188,0.04347748001897089,0.043480407458770985,0.043459652570782915,0.04347084937449817,0.04347969396927425,0.0434860366278031,0.04347814979865155,0.04348913767429499,0.043472226590241386,0.04347615996860288,0.043462334351568176,0.04347936488207407,0.04347784964093122,0.043488309323022,0.043478224268325996,0.043468913347921766,0.0434617808955734
0.06,0.043507430810704205,0.043458232962872254,0.043480955956693865,0.04351592866745485,0.043499768687465225,0.043470668878962976,0.04347314740903392,0.04347868451484561,0.04345649515900539,0.0434624767182404,0.04348498244996336,0.043490616652613355,0.04347809086091039,0.04350228798961358,0.043478119986756165,0.04346811267003482,0.04345215594665285,0.043472067783697665,0.043476737191902814,0.043491288517601416,0.0434783416346253,0.04346758355387353,0.04345582499647601
0.08,0.04351512815862352,0.04345887235590969,0.043473513219163054,0.043532501942655635,0.043507728077574324,0.043458904037524365,0.04346544993368004,0.04347980570995377,0.043449152301313854,0.04345390844974606,0.04349450468462928,0.04349098113355482,0.04347573128962369,0.043509347632135806,0.04348632241498091,0.04346093158684182,0.043446089981812604,0.043470653769781514,0.04347579808181102,0.04349337673550597,0.0434706965341836,0.043464893909298495,0.04346570805969602
0.1,0.0435138814787409,0.043458323616433335,0.043468465051786115,0.04355053169981347,0.04352058284901141,0.043451848263171555,0.04345639832344735,0.04348726837370378,0.04344194720903884,0.04344701164201866,0.0434940466305079,0.043494470129584496,0.04347164923437551,0.043518460615981296,0.04350062443159838,0.04345799163218137,0.04344654546620648,0.043465363164599154,0.04347830356297833,0.0435005753966126,0.04346322379888606,0.04344757371734559,0.04346491371197733
0.12,0.04351235909670868,0.04345901600881669,0.043469325440246384,0.04355840417586448,0.043537842158466414,0.043446560732174344,0.043448324863447046,0.043491905860666716,0.04343359865179212,0.043436161744389246,0.043494093398873654,0.043501586789294666,0.04347378265880683,0.04352715365343112,0.043510348913075016,0.04344656148518113,0.04344724351414844,0.04345270072124088,0.04347876835490813,0.043513705375658754,0.04345609005669779,0.043434809853246756,0.0434696564928647
0.14,0.0435135701642831,0.04345511250201386,0.04346797767324636,0.04356279715459135,0.043549793745760984,0.04343518110624381,0.043430837102288185,0.04349834469513829,0.04343610528694323,0.04342743742156911,0.043493847616043066,0.04350365331002321,0.043477813383511685,0.04354705035579671,0.04352821277286024,0.043433890154841816,0.0434441548816653,0.043446060952597704,0.04348069419388249,0.04352025420733648,0.04345043778134391,0.04341931851361857,0.04347745502440073
0.16,0.04351394431762865,0.0434512948456485,0.04346367495378367,0.043568500839011655,0.04356202721185071,0.04343162311402974,0.043412547505604894,0.043498539866843954,0.04343585979358524,0.043426039258721995,0.04349774238822723,0.04350182154308777,0.043483255228499065,0.04355422989853553,0.04354174398823128,0.04341806065164211,0.04344795835997041,0.04344278795425714,0.04348841844874892,0.043530232710290495,0.043447935858778014,0.04340146519401083,0.04348029606901223
0.18,0.04352084848742197,0.04344624473338331,0.04346321212946336,0.04357122679107141,0.04357898799695969,0.0434236951692279,0.043401543062875365,0.04350638322525654,0.04342237875696034,0.043417726724898686,0.04350228072870784,0.0435055400691018,0.043484326735677946,0.04356074490459943,0.04355266608169838,0.043402230188111346,0.04345161844655852,0.043439511384485895,0.04349283899617009,0.043537246012111605,0.04344550794966686,0.04339438046521129,0.04347886096038072
