k,maximum_adjoint_law_error
2,3.463824224941973e-16
3,2.551996275269413e-15
4,1.8813381107823187e-15
5,1.3797864742850999e-15
6,1.4667238758708e-14
7,1.168652851844005e-14
8,2.412809859998745e-14
9,1.4658396317195586e-14
10,8.86704478378017e-15
11,1.487890474905309e-14
12,5.888312495736949e-14
