k,maximum_multiplication_law_error
2,2.4492935982947064e-16
3,1.7176975763650377e-15
4,1.2726902864698882e-15
5,1.320444373401276e-15
6,1.0094808750812607e-14
7,9.469225349247918e-15
8,1.6294605702965615e-14
9,1.508582219638234e-14
10,1.3631015066153134e-14
11,1.0887478202254949e-14
12,4.025121193147589e-14
