lambda,target_k,target_probability,uniform_probability,target_gain_over_uniform,highest_probability_k,highest_probability_tie_count,highest_probability,ensemble_mean_defect,defect_variance,analytic_d_mean_defect_d_lambda,analytic_d_entropy_d_lambda,analytic_d_log_target_probability_d_lambda,selection_entropy
0.0,12,0.02857142857142857,0.02857142857142857,1.0,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",35,0.02857142857142857,3.54475759006529,8.009694895063129,-8.009694895063129,-0.0,3.54475759006529,3.5553480614894135
0.25,12,0.05626783522438576,0.02857142857142857,1.9693742328535018,12,1,0.05626783522438576,2.047783074854345,4.018227510658622,-4.018227510658622,-1.0045568776646554,2.047783074854345,3.389577986211725
0.5,12,0.08526522177405073,0.02857142857142857,2.984282762091776,12,1,0.08526522177405073,1.3716171622235946,1.736821073172199,-1.736821073172199,-0.8684105365860995,1.3716171622235946,3.147797205334953
1.0,12,0.1464314001397227,0.02857142857142857,5.125099004890295,12,1,0.1464314001397227,0.881537210937977,0.5800492869386971,-0.5800492869386971,-0.5800492869386971,0.881537210937977,2.802735429562135
2.0,12,0.2860165401380055,0.02857142857142857,10.010578904830192,12,1,0.2860165401380055,0.5066356589559883,0.257369007766144,-0.257369007766144,-0.514738015532288,0.5066356589559883,2.2649769550961354
4.0,12,0.5501551782187964,0.02857142857142857,19.255431237657877,12,1,0.5501551782187964,0.2047746938395442,0.08135997163914356,-0.08135997163914356,-0.32543988655657424,0.2047746938395442,1.4166536736924336
8.0,12,0.8492543184399718,0.02857142857142857,29.723901145399015,12,1,0.8492543184399718,0.05167540234249889,0.016560511489531592,-0.016560511489531592,-0.13248409191625274,0.05167540234249889,0.5767998056899811
