lambda,k,defect_D,selection_probability,ensemble_mean_defect,selection_entropy
0.0,2,1.3862943611198906,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,3,1.5040773967762742,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,4,1.6739764335716716,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,5,1.6094379124341003,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,6,1.5040773967762742,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,7,1.3268709406490897,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,8,1.114360645636249,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,9,0.8680886300562775,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,10,0.5978370007556204,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,11,0.30715417586460125,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,12,0.0,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,13,0.32113973864262707,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,14,0.6541305282174936,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,15,0.9973585549629369,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,16,1.3494925949539192,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,17,1.7094554601025802,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,18,2.076350349110163,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,19,2.449427773023684,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,20,2.8280529934969065,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,21,3.2116844962570177,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,22,3.5998562877400007,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,23,3.992164588539069,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,24,4.388257184424518,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,25,4.787825020572167,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,26,5.190595419276104,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,27,5.596326588388768,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,28,6.004803125099459,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,29,6.415832310539258,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,30,6.829241032246454,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,31,7.244873211660474,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,32,7.662587640090765,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,33,8.082256147816919,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,34,8.503762046577139,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,35,8.926998797890246,0.02857142857142857,3.54475759006529,3.5553480614894135
0.0,36,9.351868869016453,0.02857142857142857,3.54475759006529,3.5553480614894135
0.25,2,1.3862943611198906,0.03978736784985046,2.047783074854345,3.389577986211725
0.25,3,1.5040773967762742,0.03863287941798979,2.047783074854345,3.389577986211725
0.25,4,1.6739764335716716,0.03702631785195348,2.047783074854345,3.389577986211725
0.25,5,1.6094379124341003,0.03762856928831879,2.047783074854345,3.389577986211725
0.25,6,1.5040773967762742,0.03863287941798979,2.047783074854345,3.389577986211725
0.25,7,1.3268709406490897,0.04038285550954773,2.047783074854345,3.389577986211725
0.25,8,1.114360645636249,0.042586312553033696,2.047783074854345,3.389577986211725
0.25,9,0.8680886300562775,0.0452906633403956,2.047783074854345,3.389577986211725
0.25,10,0.5978370007556204,0.04845637028358137,2.047783074854345,3.389577986211725
0.25,11,0.30715417586460125,0.05210883528139196,2.047783074854345,3.389577986211725
0.25,12,0.0,0.05626783522438576,2.047783074854345,3.389577986211725
0.25,13,0.32113973864262707,0.05192696057241354,2.047783074854345,3.389577986211725
0.25,14,0.6541305282174936,0.04777920148494974,2.047783074854345,3.389577986211725
0.25,15,0.9973585549629369,0.043850381668775446,2.047783074854345,3.389577986211725
0.25,16,1.3494925949539192,0.040155118341179415,2.047783074854345,3.389577986211725
0.25,17,1.7094554601025802,0.036699355604957684,2.047783074854345,3.389577986211725
0.25,18,2.076350349110163,0.0334829205404074,2.047783074854345,3.389577986211725
0.25,19,2.449427773023684,0.03050120277946413,2.047783074854345,3.389577986211725
0.25,20,2.8280529934969065,0.02774650296882082,2.047783074854345,3.389577986211725
0.25,21,3.2116844962570177,0.025209021775683606,2.047783074854345,3.389577986211725
0.25,22,3.5998562877400007,0.02287761655524792,2.047783074854345,3.389577986211725
0.25,23,3.992164588539069,0.020740367340755496,2.047783074854345,3.389577986211725
0.25,24,4.388257184424518,0.01878500162212121,2.047783074854345,3.389577986211725
0.25,25,4.787825020572167,0.01699920887724926,2.047783074854345,3.389577986211725
0.25,26,5.190595419276104,0.01537087072155195,2.047783074854345,3.389577986211725
0.25,27,5.596326588388768,0.013888225771673987,2.047783074854345,3.389577986211725
0.25,28,6.004803125099459,0.012539984262364546,2.047783074854345,3.389577986211725
0.25,29,6.415832310539258,0.011315404006613518,2.047783074854345,3.389577986211725
0.25,30,6.829241032246454,0.010204336769626537,2.047783074854345,3.389577986211725
0.25,31,7.244873211660474,0.009197252135976691,2.047783074854345,3.389577986211725
0.25,32,7.662587640090765,0.008285244415933533,2.047783074854345,3.389577986211725
0.25,33,8.082256147816919,0.0074600269329918025,2.047783074854345,3.389577986211725
0.25,34,8.503762046577139,0.006713917091218392,2.047783074854345,3.389577986211725
0.25,35,8.926998797890246,0.006039814877227887,2.047783074854345,3.389577986211725
0.25,36,9.351868869016453,0.0054311768643570445,2.047783074854345,3.389577986211725
0.5,2,1.3862943611198906,0.042632610887025364,1.3716171622235946,3.147797205334953
0.5,3,1.5040773967762742,0.040194411010537424,1.3716171622235946,3.147797205334953
0.5,4,1.6739764335716716,0.03692092405782099,1.3716171622235946,3.147797205334953
0.5,5,1.6094379124341003,0.038131766400674526,1.3716171622235946,3.147797205334953
0.5,6,1.5040773967762742,0.040194411010537424,1.3716171622235946,3.147797205334953
0.5,7,1.3268709406490897,0.043918304160021224,1.3716171622235946,3.147797205334953
0.5,8,1.114360645636249,0.04884179161584804,1.3716171622235946,3.147797205334953
0.5,9,0.8680886300562775,0.05524193405197842,1.3716171622235946,3.147797205334953
0.5,10,0.5978370007556204,0.06323438087225912,1.3716171622235946,3.147797205334953
0.5,11,0.30715417586460125,0.07312640849427422,1.3716171622235946,3.147797205334953
0.5,12,0.0,0.08526522177405073,1.3716171622235946,3.147797205334953
0.5,13,0.32113973864262707,0.07261683524952767,1.3716171622235946,3.147797205334953
0.5,14,0.6541305282174936,0.06147935274072775,1.3716171622235946,3.147797205334953
0.5,15,0.9973585549629369,0.051784318785061643,1.3716171622235946,3.147797205334953
0.5,16,1.3494925949539192,0.04342435059070544,1.3716171622235946,3.147797205334953
0.5,17,1.7094554601025802,0.03627173996487914,1.3716171622235946,3.147797205334953
