k,defect_D,initial_transient_probability,expected_residence_time,expected_throughflow,long_time_transient_occupancy,commitment_hazard,final_absorption_probability
2,1.3862943611198906,0.5,4.071104494164369,6.762963503825182,1.1042313328408724e-19,0.00625,0.025444403088527308
3,1.5040773967762742,0.0,2.794847958628314,11.018515555413202,8.376544063645615e-20,0.004938271604938271,0.013801718314213892
4,1.6739764335716716,0.0,1.6009304792304775,7.215744799898491,5.3727863543743864e-20,0.003515625,0.005628271216044648
5,1.6094379124341003,0.0,1.3360358084956034,5.4793797474868,5.147406919523718e-20,0.004000000000000001,0.005344143233982415
6,1.5040773967762742,0.0,1.1496697416828305,4.820212707834634,5.1331699665999934e-20,0.004938271604938271,0.005677381440409038
7,1.3268709406490897,0.0,1.108468521613896,4.606584679187285,5.778405398831409e-20,0.007038733860891298,0.007802214916815847
8,1.114360645636249,0.0,1.1559288213451933,4.839140640958368,6.997455758957208e-20,0.010766601562499999,0.01244542505403394
9,0.8680886300562775,0.0,1.3494303631572224,5.669802533379665,9.26944322968181e-20,0.017619265355890867,0.02377597164776328
10,0.5978370007556204,0.0,1.7925743302566923,7.584929714047916,1.338693636561625e-19,0.030250000000000006,0.05422537349026496
11,0.30715417586460125,0.0,2.7434559283356323,11.71101292015474,2.1157068245961685e-19,0.05410149579946725,0.14842506938287375
12,0.0,0.0,4.802526735628572,14.51188223647552,3.663067374815909e-19,0.1,0.4802526735628572
13,0.32113973864262707,0.0,2.7317075908958994,11.59216294946241,1.9498559947651672e-19,0.052609184180957475,0.14371290777796203
14,0.6541305282174936,0.0,1.7091973966579155,7.24058865253453,1.0394590190702883e-19,0.027028966642979258,0.046197839420533786
15,0.9973585549629369,0.0,1.195729292142434,5.068645278284407,5.496770952046512e-20,0.013605213652244017,0.01626815248984432
16,1.3494925949539192,0.0,0.9351116593806857,3.9707927882709004,2.8715197774694916e-20,0.0067273748189482525,0.00629084663022254
17,1.7094554601025802,0.0,0.8007681246789577,3.407742527568683,1.4800288888055788e-20,0.003274808079802103,0.002622361924746629
18,2.076350349110163,0.0,0.7294340653545854,3.111246687867551,7.527448675269949e-21,0.0015721898992609917,0.0011468088697273613
19,2.449427773023684,0.0,0.6895474305831257,2.9476383832802187,3.7806919065325516e-21,0.0007455110220887979,0.0005140652097527306
20,2.8280529934969065,0.0,0.6654765721236058,2.850679266586116,1.876971281623042e-21,0.00034961043019017166,0.00023265755066161463
21,3.2116844962570177,0.0,0.6495294424983847,2.7877563353219617,9.220027575141469e-22,0.00016231785364686976,0.00010543022498678571
22,3.5998562877400007,0.0,0.6379282627929359,2.742857024742726,4.485336168391724e-22,7.468004262860371e-05,4.764050985936757e-05
23,3.992164588539069,0.0,0.6288050375247601,2.7080815303919215,2.1627607978312275e-22,3.407610099158262e-05,2.1427223962709625e-05
24,4.388257184424518,0.0,0.6212175692140208,2.6794659620273764,1.0344181367592095e-22,1.543150341422013e-05,9.586321040299692e-06
25,4.787825020572167,0.0,0.6146721931374873,2.6549525667399885,4.9107129227193524e-23,6.9398171286012455e-06,4.265712614410427e-06
26,5.190595419276104,0.0,0.6088944705144764,2.633412863668889,2.3152988601369952e-23,3.101030967670024e-06,1.8882006091084337e-06
27,5.596326588388768,0.0,0.6037194742472418,2.6141800649529254,1.0846929138347024e-23,1.377502791021366e-06,8.316252607695274e-07
28,6.004803125099459,0.0,0.5990391766154193,2.596825051738066,5.051712367202249e-24,6.085472100680757e-07,3.6454361965079067e-07
29,6.415832310539258,0.0,0.5947769075008307,2.5810479681720446,2.3397440377484047e-24,2.674723303050074e-07,1.59086365460853e-07
30,6.829241032246454,0.0,0.5908746343655455,2.566624561456783,1.0780214327433288e-24,1.1700289516123878e-07,6.913404289810722e-08
31,7.244873211660474,0.0,0.587286350940813,2.5533785637251007,4.941941109747443e-25,5.095456333539402e-08,2.99249195650261e-08
32,7.662587640090765,0.0,0.5839744257330817,2.5411666391549215,2.254114891864508e-25,2.209840565847393e-08,1.2904903754023994e-08
33,8.082256147816919,0.0,0.5809074288424783,2.529869563268722,1.0225816522299553e-25,9.54644131924958e-09,5.5455986813608696e-09
34,8.503762046577139,0.0,0.5780587329904692,2.5193866317134312,4.608579259118015e-26,4.108905333415536e-09,2.375188611011966e-09
35,8.926998797890246,0.0,0.5754055465652418,2.5096318470162444,2.0576870860814875e-26,1.7624116876866978e-09,1.0141014604263344e-09
36,9.351868869016453,0.5,0.5729282062750207,1.252463281004916,9.043911946019966e-27,7.534768429160544e-10,4.316881360816606e-10
