k,r,gcd_k_r,orbit_length,primitive_recurrence,transitive_full_cycle,modular_inverse_s,r_times_s_mod_k,U_power_recovers_X
12,1,1,12,True,True,1.0,1.0,True
12,2,2,6,False,False,,,False
12,3,3,4,False,False,,,False
12,4,4,3,False,False,,,False
12,5,1,12,True,True,5.0,1.0,True
12,6,6,2,False,False,,,False
12,7,1,12,True,True,7.0,1.0,True
12,8,4,3,False,False,,,False
12,9,3,4,False,False,,,False
12,10,2,6,False,False,,,False
12,11,1,12,True,True,11.0,1.0,True
