beta,noise_strength,detected_target_k,target_terminal_probability,target_argmax_frequency,target_gain_over_uniform,mean_entropy_change
0.0,0.0,12,0.09036698413880295,0.06866666666666667,0.9940368255268325,0.3428830512440757
0.0,0.03,12,0.0915746484273363,0.064,1.0073211327006992,0.3387301714141664
0.0,0.06,12,0.09027867288388412,0.048,0.9930654017227253,0.34359844941812634
0.0,0.1,12,0.09077116882566362,0.064,0.9984828570822998,0.3280935546930346
0.0,0.15,12,0.09105607139149892,0.068,1.0016167853064881,0.3273191159137747
0.25,0.0,12,0.10139912398467672,0.336,1.115390363831444,0.3373233454294362
0.25,0.03,12,0.10196273015833494,0.296,1.1215900317416843,0.33924248769890486
0.25,0.06,12,0.10089801728585157,0.226,1.1098781901443673,0.33877385953792194
0.25,0.1,12,0.10035174510971365,0.21,1.10386919620685,0.336056459540806
0.25,0.15,12,0.10259832897366569,0.19666666666666666,1.1285816187103226,0.3334784861519826
0.5,0.0,12,0.11310148195299846,0.5586666666666666,1.244116301482983,0.3486604836163947
0.5,0.03,12,0.11235472632491675,0.5093333333333333,1.2359019895740841,0.3364257078849997
0.5,0.06,12,0.11188590535049511,0.48333333333333334,1.2307449588554462,0.33154208054615264
0.5,0.1,12,0.1121185146591349,0.4046666666666667,1.233303661250484,0.33320037926144286
0.5,0.15,12,0.11202474557732146,0.3413333333333333,1.232272201350536,0.3277829900482465
1.0,0.0,12,0.13787233252194175,0.81,1.5165956577413593,0.3243087164727161
1.0,0.03,12,0.1379178757822297,0.816,1.5170966336045266,0.32797040012250633
1.0,0.06,12,0.1385296992648632,0.792,1.523826691913495,0.3257845380147457
1.0,0.1,12,0.13703508390367905,0.7113333333333334,1.5073859229404696,0.3253273354885198
1.0,0.15,12,0.13702576114245066,0.6433333333333333,1.5072833725669572,0.3081156621280541
2.0,0.0,12,0.19670115136421115,0.972,2.1637126650063228,0.28173394297801657
2.0,0.03,12,0.19625654662395528,0.9733333333333334,2.158822012863508,0.2790138082053626
2.0,0.06,12,0.19672274174582974,0.9666666666666667,2.163950159204127,0.2783315581823893
2.0,0.1,12,0.19478697605060583,0.9533333333333334,2.142656736556664,0.2722383765639269
2.0,0.15,12,0.19462030935865401,0.9253333333333333,2.1408234029451942,0.2723973889003539
