k,F_k,pair_count_k2,candidate_pair_residual
4,3,16,0.6842105263157895
6,8,36,0.6363636363636364
8,21,64,0.5058823529411764
10,55,100,0.2903225806451613
12,144,144,0.0
14,377,196,0.3158813263525305
16,987,256,0.588093322606597
18,2584,324,0.7771664374140302
20,6765,400,0.8883461270062806
22,17711,484,0.9467985710359988
24,46368,576,0.9754601226993865
