time,k_4,k_6,k_8,k_10,k_12,k_14,k_16,k_18,k_20,k_22,k_24
0.0,0.024317739914833433,0.22207151248722268,0.07451838534808408,0.1778489308893264,0.08368201952676584,0.0721479065515131,0.21156867798219367,0.0026694846380930217,0.004270519585696708,0.06729005296612108,0.05961477011014994
0.04,0.02623923595001131,0.21878470955543047,0.07693835603166325,0.17600468825479865,0.08466889583022259,0.07374338459709177,0.20787235334585166,0.004682470556095388,0.004893665019144287,0.06658552345957432,0.059586717400116264
0.08,0.02810827323615591,0.21549792773750168,0.0793146300214501,0.17404409824266956,0.08557432213048392,0.07527735900357944,0.20452132469211978,0.006624755005758211,0.005518663841742505,0.06590068725267474,0.05961795883586415
0.12,0.029902224591730833,0.21233624387681937,0.08162796072792416,0.17227156756159026,0.08633295924938934,0.07675375142011993,0.20128856254920985,0.00850134489216277,0.006138007738826148,0.06521860806909185,0.05962876932313533
0.16,0.03167113003480834,0.2093038131162128,0.08386932621463855,0.1704703463941329,0.08711216632330031,0.07818555393626367,0.1981780290201773,0.010303042116220847,0.006754539628496847,0.06459046750062632,0.05956158571512203
0.2,0.033401821353370185,0.20637196449885534,0.08601950409439252,0.16874376058898852,0.08789747969087906,0.07953711107382791,0.19516224101569463,0.012039971440026349,0.007373560301973338,0.0639281460761175,0.059524439865874704
0.24,0.03510018550204615,0.20348680327670984,0.08804862092424103,0.16715055691477856,0.08869724118035571,0.08083152922430921,0.192190063024763,0.013711921264551306,0.007995411705886211,0.0633518194459692,0.059435847536389835
0.28,0.03678172385885061,0.2007236291428091,0.08997452394263043,0.1656410215774311,0.08950961445049627,0.0820403873048153,0.18933284742289952,0.015314943598439205,0.008616726542059257,0.06280195663840757,0.05926262552116163
0.32,0.03842427711373155,0.1980715826836289,0.09187253678234297,0.16420670763863263,0.09023083276254137,0.08330091107590719,0.1865174151779067,0.016873359938537565,0.009236983916514766,0.06227389586749267,0.05899149704276364
0.36,0.040027225968025625,0.19551538809993008,0.09357579900666813,0.16283480513549106,0.09095323917863284,0.08452473505305891,0.1838560996441844,0.018372814087482585,0.009855526824578206,0.0617623513152554,0.0587220156866928
0.4,0.041588432445147545,0.1930339320424361,0.09515928676055486,0.16150793296863591,0.09168491753006908,0.08569976255711716,0.1812665348940469,0.019824746976499254,0.010471133705965696,0.061261647697787795,0.058501672421739634
0.44,0.04310433733277886,0.19060417674936586,0.09678883329543536,0.16020716534844248,0.09250689169071903,0.08681850450316735,0.1787276339903688,0.021215493290788465,0.011082286979084905,0.06076564285083239,0.05817903396901646
0.48,0.044586930605977335,0.1882742850241932,0.0983960160075908,0.15897463484688926,0.09318923230415291,0.08790575979953268,0.17628336671448666,0.022548112982425685,0.011691360449800537,0.060288841062405014,0.057861460202546004
0.52,0.04603292776826829,0.18602138983842584,0.0999209924919441,0.15779036386187184,0.09389310407600808,0.08895260757475748,0.17391188083533624,0.023859190941564724,0.012296848133974069,0.05982441068488634,0.05749628379296296
0.56,0.04745133326928352,0.1838733528570587,0.10135134564474031,0.15667876504083228,0.09458322237230257,0.08997577214386383,0.17163964672905985,0.025119381961957968,0.012898545936810066,0.059381458810157536,0.057047175233933385
0.6,0.0488534365034375,0.18186165749293737,0.1026692390939569,0.1556672589383696,0.09510680597343815,0.09099471680062148,0.16949624146317652,0.026361485163852026,0.013490647374987104,0.05897002779649392,0.05652848339872951
0.64,0.050188140021227824,0.17990435516469902,0.10404389482578372,0.15468456787698132,0.09559676100092798,0.09197090353831949,0.16740610892414454,0.02757649989817206,0.014082593272514977,0.0585634748243994,0.055982700652829745
0.68,0.05148385240849836,0.17800611024261273,0.10539530655223106,0.15370041500604906,0.09607321413715718,0.09290821119817098,0.1653729999517551,0.02879241489795331,0.014668047431102527,0.058163311039053804,0.05543611713541571
0.72,0.05281535627787617,0.1762618062160849,0.10674758733486367,0.1525832441754314,0.09639847799912675,0.0938592096097308,0.16348511193771909,0.029936400466141874,0.015246203941792982,0.057801017956399754,0.05486558408483259
0.76,0.05411428013903043,0.174562852549745,0.1080378588817263,0.1515748105732422,0.09668763552021327,0.09476813461288296,0.16164058489050875,0.031013721026404102,0.01582336238791106,0.057440882414700155,0.05433587700363578
0.8,0.055370973706570376,0.17287596490875345,0.10924850190445975,0.1506555832019295,0.0970806111500309,0.09561818558613694,0.15980843190692243,0.03206277174554252,0.01638822845521847,0.0570728334589126,0.05381791397552303
0.84,0.05659124643922719,0.1712186490568464,0.11039301613942126,0.14970338999900354,0.09752028912549247,0.09642129904505822,0.1580051870756365,0.03312419923507848,0.01695805014311288,0.05670318939775081,0.053361484343372206
0.88,0.05772502490555695,0.16959995710511677,0.1114789505212723,0.14877648183522324,0.09801086742945599,0.09718465612728326,0.15623986384457492,0.03417670394729468,0.017532999830938846,0.05633612359712193,0.052938370856161064
0.92,0.058869130309384364,0.168019275155665,0.11250870225360689,0.1478618282629286,0.09841214875436996,0.09791048083710654,0.15451276594878505,0.03519511259840267,0.018082065559157895,0.05597246341538645,0.052656026905206516
