time,closure_entropy
0.0,3.1354942159291497
0.02,3.135494208724283
0.04,3.1354941828211675
0.06,3.135494143081341
0.08,3.135494089051284
0.1,3.135494004051859
0.12,3.1354938939174857
0.14,3.1354937407908987
0.16,3.135493583617766
0.18,3.1354933904807774
0.2,3.135493219541613
0.22,3.135493000003584
0.24,3.1354926934625
0.26,3.1354924045558703
0.28,3.1354921198069974
0.3,3.135491914862667
0.32,3.1354917212534374
0.34,3.135491517349391
0.36,3.1354913363668224
0.38,3.1354911550003095
0.4,3.1354909635985733
0.42,3.135490741100996
0.44,3.1354904471296585
0.46,3.135490211104453
0.48,3.1354899562554897
0.5,3.135489651777704
0.52,3.1354893143126974
0.54,3.135488869893113
0.56,3.1354883918549676
0.58,3.135487974545316
0.6,3.1354876733131043
0.62,3.1354873994137566
0.64,3.1354870523659795
0.66,3.1354866876963428
0.68,3.135486300246847
0.7000000000000001,3.135486072629495
0.72,3.135485787709535
0.74,3.135485547435115
0.76,3.13548539635069
0.78,3.1354851448291994
0.8,3.1354846945076504
0.8200000000000001,3.1354842255770055
0.84,3.135483815098108
0.86,3.135483411661843
0.88,3.135482921726501
0.9,3.135482561522427
0.92,3.135482363535186
0.9400000000000001,3.1354820314375136
0.96,3.1354817251971685
0.98,3.1354814883966537
1.0,3.135481230044326
1.02,3.1354809843667417
1.04,3.1354806297231566
1.06,3.1354802515535454
1.08,3.1354798691338495
1.1,3.1354796853636935
1.12,3.1354797305922792
1.1400000000000001,3.1354797475301006
1.16,3.1354799059287277
1.18,3.135480020784195
1.2,3.135480438639453
1.22,3.1354808571811876
1.24,3.135481032677021
1.26,3.1354811317639903
1.28,3.13548102146649
1.3,3.135480996627106
1.32,3.135480922876251
1.34,3.135480836465019
1.36,3.1354807619089646
1.3800000000000001,3.1354806144756457
1.4000000000000001,3.1354804617820267
1.42,3.1354805476282612
1.44,3.1354807409365386
1.46,3.1354810448648673
1.48,3.135481258891139
1.5,3.1354815359165524
1.52,3.135481864155859
1.54,3.1354823216162595
1.56,3.1354827329217176
1.58,3.135483036849613
1.6,3.1354833840402163
1.62,3.135483770627911
1.6400000000000001,3.1354839872881106
1.6600000000000001,3.1354842021609137
1.68,3.135484465009803
1.7,3.1354847103741297
1.72,3.1354848867865854
1.74,3.135484994972476
1.76,3.1354850361389555
1.78,3.135484962123941
1.8,3.135485086344319
1.82,3.1354852375646654
1.84,3.1354854194051383
1.86,3.1354855447437564
1.8800000000000001,3.135485564956256
1.9000000000000001,3.1354854769449467
1.92,3.135485394722795
1.94,3.1354853451653364
1.96,3.1354852632164447
1.98,3.135485200831014
2.0,3.135485175523267
2.02,3.1354849820716493
2.04,3.135484846724038
2.06,3.1354845833556593
2.08,3.135484341679706
2.1,3.1354841594896503
2.12,3.135483941787754
2.14,3.1354837347866944
2.16,3.1354835379627293
2.18,3.1354833104403235
2.2,3.1354831034632684
2.22,3.135482836493063
2.24,3.1354825739661942
2.2600000000000002,3.135482274361704
2.2800000000000002,3.135481824516848
2.3000000000000003,3.135481322583707
2.32,3.135480965051305
2.34,3.13548058561246
2.36,3.135480218418759
2.38,3.1354798185390913
2.4,3.1354794620332527
2.42,3.1354792502559534
2.44,3.135479014254532
2.46,3.1354787242074087
2.48,3.135478394859219
2.5,3.135478012762747
2.52,3.1354775619289645
2.54,3.135477258681395
2.56,3.1354771883962598
2.58,3.135477067562363
2.6,3.135477253061491
2.62,3.1354773297875687
2.64,3.135477290943707
2.66,3.1354773193049366
2.68,3.1354773655995922
2.7,3.1354774055227703
2.72,3.135477474457332
2.74,3.1354773245153718
2.7600000000000002,3.135477318913308
2.7800000000000002,3.135477432532185
2.8000000000000003,3.1354772164258824
2.82,3.135476983810959
2.84,3.1354766521526467
2.86,3.1354763547312356
2.88,3.1354761195370937
2.9,3.1354760782366746
2.92,3.1354760525629692
2.94,3.1354761964869433
2.96,3.1354762555526694
2.98,3.135476380907084
3.0,3.135476561653331
3.02,3.1354767122160956
3.04,3.1354767473619747
3.06,3.1354768200806897
3.08,3.1354769035073367
3.1,3.1354769110872844
3.12,3.1354769212564997
3.14,3.1354770499310116
3.16,3.1354772893051863
3.18,3.135477541547079
3.2,3.1354777017813977
3.22,3.1354780366684087
3.24,3.135478390242557
3.2600000000000002,3.135478815318157
3.2800000000000002,3.135479139774584
3.3000000000000003,3.135479423545002
3.3200000000000003,3.1354797453291936
3.34,3.1354800363773405
3.36,3.1354801818260185
3.38,3.1354802499735603
3.4,3.1354803073911888
3.42,3.135480530986413
3.44,3.135480823882032
3.46,3.1354811096839237
3.48,3.1354813842079206
3.5,3.135481463469263
3.52,3.135481576675675
3.54,3.135481643478226
3.56,3.1354816359997812
3.58,3.1354814295225664
3.6,3.1354813080429573
3.62,3.135481221972272
3.64,3.1354810770495933
3.66,3.1354810411959537
3.68,3.135481025375489
3.7,3.135481114386549
3.72,3.135481055268702
3.74,3.1354810718185133
3.7600000000000002,3.1354810323171023
3.7800000000000002,3.1354810253514485
3.8000000000000003,3.135480936190753
3.8200000000000003,3.1354810260221493
3.84,3.135481206225917
3.86,3.1354813358080036
3.88,3.1354813421728007
3.9,3.1354813554789467
3.92,3.1354812972781354
3.94,3.1354810233338672
3.96,3.135480681912783
3.98,3.1354804691873026
4.0,3.13548023398554
4.0200000000000005,3.1354799348952804
4.04,3.1354796518735286
4.0600000000000005,3.13547958438266
4.08,3.1354794901807717
4.1,3.1354791742073993
4.12,3.135478735975878
4.14,3.1354782599517503
4.16,3.135477746669085
4.18,3.1354772230912125
4.2,3.1354767208641503
4.22,3.135476350886801
4.24,3.135475915752696
4.26,3.1354755560571745
4.28,3.1354751512227463
4.3,3.135474686507767
4.32,3.135474223511676
4.34,3.135473651797321
4.36,3.1354732605242184
4.38,3.1354728638738725
4.4,3.135472442321057
4.42,3.1354718770655126
4.44,3.135471331158972
4.46,3.1354708183973776
4.48,3.1354704101632582
4.5,3.135469868790776
4.5200000000000005,3.1354691040425866
4.54,3.1354684809559954
4.5600000000000005,3.1354678183337343
4.58,3.135467608481729
4.6000000000000005,3.1354672802136734
4.62,3.1354671825218765
4.64,3.1354673412174714
4.66,3.1354676613427253
4.68,3.1354681289006443
4.7,3.1354683031802075
4.72,3.1354685648456186
4.74,3.135468794014061
4.76,3.1354688837226825
4.78,3.1354690662950935
4.8,3.13546919723985
4.82,3.135469350458418
4.84,3.1354695903674203
4.86,3.1354697263050113
4.88,3.1354697824157802
4.9,3.1354696321932205
4.92,3.1354696888051197
4.94,3.1354696438196337
4.96,3.135469572969909
4.98,3.135469575003788
5.0,3.135469599102547
5.0200000000000005,3.1354696789270236
5.04,3.1354697117543937
5.0600000000000005,3.1354699988310144
5.08,3.1354701681267247
5.1000000000000005,3.1354703204118834
5.12,3.1354704593507448
5.14,3.1354707191027233
5.16,3.135470931396333
5.18,3.135471017950736
5.2,3.1354709668004457
5.22,3.13547080712613
5.24,3.1354706429839716
5.26,3.135470519594564
5.28,3.1354706156370167
5.3,3.1354707592549436
5.32,3.1354707511346085
5.34,3.1354708252671832
5.36,3.1354709771387723
5.38,3.135471194335864
5.4,3.1354711916630214
5.42,3.135470981202285
5.44,3.1354708039336474
5.46,3.135470606491909
5.48,3.135470327995435
5.5,3.1354699922066263
5.5200000000000005,3.135469667048338
5.54,3.135469278514862
5.5600000000000005,3.135468969718129
5.58,3.1354684564659476
5.6000000000000005,3.1354679696712187
5.62,3.1354677791546886
5.64,3.135467758434886
5.66,3.1354676905972627
5.68,3.1354676595119866
5.7,3.135467747926263
5.72,3.13546771779049
5.74,3.1354676518351177
5.76,3.135467461901171
5.78,3.1354673085668816
5.8,3.1354670972421506
5.82,3.13546700825605
5.84,3.135466997631047
5.86,3.135467032021331
5.88,3.135466993237831
5.9,3.13546673360258
5.92,3.1354667812043266
5.94,3.1354668659844034
5.96,3.1354672262142986
5.98,3.135467655619107
6.0,3.1354680224415072
6.0200000000000005,3.135468510047116
6.04,3.135469192248752
6.0600000000000005,3.1354699045671426
6.08,3.1354706025713104
6.1000000000000005,3.135471363031816
6.12,3.135472043191407
6.140000000000001,3.1354723114441434
6.16,3.135472521533401
6.18,3.1354728967761947
6.2,3.135473255885065
6.22,3.1354733077538772
6.24,3.1354734850081116
6.26,3.1354737219994964
6.28,3.135474046721464
6.3,3.1354744045787064
6.32,3.1354747760665007
6.34,3.135475117796033
6.36,3.135475323065944
6.38,3.1354754172668136
6.4,3.1354753001951208
6.42,3.1354752062845015
6.44,3.135475133232104
6.46,3.1354750298287684
