time,closure_entropy
0.0,2.3978952727983707
0.05,2.396381744959014
0.1,2.392449068701698
0.15000000000000002,2.3868410379386833
0.2,2.3800856460250404
0.25,2.3725624640607355
0.30000000000000004,2.3646293490269588
0.35000000000000003,2.356485592742856
0.4,2.3483065964276064
0.45,2.340293580775141
0.5,2.3324571117178654
0.55,2.324915273473761
0.6000000000000001,2.317668962324695
0.65,2.3108910958107085
0.7000000000000001,2.3044918606936298
0.75,2.29844212305685
0.8,2.2928562905311978
0.8500000000000001,2.2875833272681327
0.9,2.282570016533018
0.9500000000000001,2.2777455947110674
1.0,2.273246124098253
1.05,2.269086116449048
1.1,2.2651595908007343
1.1500000000000001,2.2615990538067594
1.2000000000000002,2.258134047596819
1.25,2.2549568434670832
1.3,2.2520969602960452
1.35,2.2494510632271507
1.4000000000000001,2.2469372142078496
1.4500000000000002,2.2446355393318296
1.5,2.2425785653263444
1.55,2.240637748168689
1.6,2.238744530290224
1.6500000000000001,2.2370653124423456
1.7000000000000002,2.235313433067454
1.75,2.233775577511044
1.8,2.232330548250738
1.85,2.230879731985097
1.9000000000000001,2.2294999868286496
1.9500000000000002,2.2282117912465047
2.0,2.2270361880276277
2.0500000000000003,2.225949504583292
2.1,2.224848370218177
2.15,2.22375225270014
2.2,2.2229155697900573
2.25,2.222149282211838
2.3000000000000003,2.221488504672297
2.35,2.220825906261713
2.4000000000000004,2.2203396786866136
2.45,2.219925922559419
2.5,2.2194627341595896
2.5500000000000003,2.218937568532848
2.6,2.2184016497531682
2.6500000000000004,2.217861430195856
2.7,2.217524656972637
2.75,2.2172230389417393
2.8000000000000003,2.2169276267651292
2.85,2.21684342977823
2.9000000000000004,2.2166779585241208
2.95,2.2165131729852527
3.0,2.2163019128945107
3.0500000000000003,2.2161062867577255
3.1,2.215915536500753
3.1500000000000004,2.2157579385620134
3.2,2.215428300913671
3.25,2.2151373915342187
3.3000000000000003,2.2147514831273125
3.35,2.2142579610566786
3.4000000000000004,2.213873783830182
3.45,2.213575802025632
3.5,2.2132361511176915
3.5500000000000003,2.2126955598991422
3.6,2.212355972236429
3.6500000000000004,2.2120221575433137
3.7,2.2116572833077304
3.75,2.2112552251884323
3.8000000000000003,2.2109173121848045
3.85,2.2105473144425494
3.9000000000000004,2.2103786816946567
3.95,2.2102703472941103
4.0,2.2102304491863123
4.05,2.2102393823587336
4.1000000000000005,2.210144443697224
4.15,2.2099060704427282
4.2,2.2096280722517645
4.25,2.2093400383646697
4.3,2.2090722908385745
4.3500000000000005,2.2089237386709866
4.4,2.208746243276817
4.45,2.2086827471529626
4.5,2.208566114890318
4.55,2.208415760554724
4.6000000000000005,2.2084446316938844
4.65,2.2085447974198904
4.7,2.208526522520285
4.75,2.208577269885428
4.800000000000001,2.2086118797563055
4.8500000000000005,2.2084812536334035
4.9,2.2083193582786014
4.95,2.2081779778653687
5.0,2.208055535716073
5.050000000000001,2.208011357496567
5.1000000000000005,2.207906053050568
5.15,2.207609038237496
5.2,2.207207336108657
5.25,2.2067671211485314
5.300000000000001,2.2065355124297965
5.3500000000000005,2.20629418863631
5.4,2.206079889403612
5.45,2.2059006475332734
5.5,2.205711787306476
5.550000000000001,2.205428466908438
5.6000000000000005,2.2051142054646156
5.65,2.2048447297537828
5.7,2.2045930591863674
5.75,2.204276873228063
5.800000000000001,2.2039924651788243
5.8500000000000005,2.203707376863419
5.9,2.203437686947612
5.95,2.2031914890220508
6.0,2.202949930541174
6.050000000000001,2.2026951484616615
6.1000000000000005,2.202474275813776
6.15,2.2022511076215174
6.2,2.202016154780911
