time,k_4,k_6,k_8,k_10,k_12,k_14,k_16,k_18,k_20,k_22,k_24
0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091
0.05,0.0894644793243338,0.09028191934215103,0.09243883528544074,0.09612974199097635,0.10153826082021725,0.09569878121376138,0.09110280968655841,0.08789826462996148,0.08600409561156722,0.08500478054740687,0.08443803154762548
0.1,0.08802367203804443,0.08953160946817885,0.09376159112595474,0.10080570514569852,0.11139703222928096,0.0999794696333497,0.09115453059209802,0.08514612293684223,0.08161705374922562,0.07979610068989236,0.07878711239143456
0.15000000000000002,0.08657338187669651,0.08880654725106486,0.09486150111624587,0.10508280717909402,0.12047358116684279,0.10375339423271689,0.09112276153957191,0.08261248806652584,0.07772855197762278,0.07517629336300737,0.07380869223061114
0.2,0.08519606723579608,0.08804517542200017,0.09580552034583846,0.10896222503891194,0.12891141409347817,0.1070469060969412,0.09103655956286437,0.08027027628224477,0.07424202373893364,0.07105907589762923,0.069424756285362
0.25,0.0838792640627706,0.08725003532422734,0.09655245562420545,0.11246473772540733,0.13680056481283054,0.11001482641895188,0.09086316859599695,0.07811190625117474,0.07107129924095802,0.06744265158928829,0.06554909035418888
0.30000000000000004,0.08266696389626124,0.086408146892655,0.09714382489183115,0.11563476210891398,0.14405290083751968,0.11272313754100219,0.09064400057831247,0.07614016542573841,0.06823577577629453,0.06422396923652932,0.06212635281494209
0.35000000000000003,0.08149362916400832,0.08555058636683986,0.09761583445830042,0.11846985082290072,0.15083158681916972,0.11515575392820736,0.09038887752118101,0.07432190695370743,0.06566734294342387,0.06139749209447337,0.0591071389277878
0.4,0.08034024692464749,0.08473074790821444,0.09798682197863,0.1209927863489853,0.1572006421068736,0.11729852462275611,0.0900889707238142,0.0726589924073456,0.06333792731857248,0.05891088498813018,0.05645345467203054
0.45,0.07921461336160289,0.08392314822175637,0.0982745944099377,0.12323919763821653,0.16302689354096925,0.11931075661993908,0.08976576523944062,0.07112939087232731,0.06126575651857947,0.05672054862099413,0.0541293349562366
